representation,attacker,target,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
RawPrivate,RandomForest,dominant_rat,10,0.9903508771929823,0.001240538212607982,0.0007688935501578248,0.9416083916083917,0.028656797158003067,0.017761666895087038,0.6025980707471429,0.011500504221288189,0.007128086365611749
StratifiedRandom,Baseline,dominant_cpe,10,0.2656140350877193,0.014936913493073654,0.00925799489879883,0.2537368205381585,0.01578441039052866,0.00978327891795209,0.25295843136136953,0.015346072028116808,0.009511593986186331
StratifiedRandom,Baseline,dominant_rat,10,0.9692982456140351,0.005624381304582283,0.0034860276489428505,0.49864205561879976,0.01291998161908417,0.008007887571787928,0.46239079760126217,0.06404179737823262,0.039693517252578116
V1,GradientBoosting,dominant_cpe,10,0.25263157894736843,0.0,0.0,0.27331150434203344,5.851389114294502e-17,3.6267285471088446e-17,0.24808563501893302,2.925694557147251e-17,1.8133642735544223e-17
V1,GradientBoosting,dominant_rat,10,0.9789473684210528,1.1702778228589004e-16,7.253457094217689e-17,0.5436656366888925,0.0,0.0,0.5660999746257296,1.1702778228589004e-16,7.253457094217689e-17
V1,LogisticRegression,dominant_cpe,10,0.1543859649122807,0.0,0.0,0.2570097771156784,0.0,0.0,0.08413500797748716,0.0,0.0
V1,LogisticRegression,dominant_rat,10,0.856140350877193,0.0,0.0,0.9266547406082288,2.340555645717801e-16,1.4506914188435379e-16,0.5661939411939411,1.1702778228589004e-16,7.253457094217689e-17
V1,MLP,dominant_cpe,10,0.25157894736842107,0.0445458983631044,0.02760983385217214,0.26489369667830986,0.02954517128730109,0.018312286885025373,0.1998995403492136,0.01965251309069274,0.0121807538101214
V1,MLP,dominant_rat,10,0.9740350877192985,0.014078879051044846,0.008726179641853014,0.5055130915596032,0.02363881646942265,0.014651490241878817,0.4650045862030224,0.0641941616380025,0.03978795359917428
V1,RandomForest,dominant_cpe,10,0.237719298245614,0.007454706891217528,0.00462047520077929,0.28636458574987517,0.00728579055951457,0.004515779773711646,0.2220390159850159,0.008424592878299532,0.005221616763591806
