representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
V3_sigma010,LogisticRegression,dominant_rat,3,570,0,0.656140350877193,0.8246869409660107,0.3008673003903041
V3_sigma010,RandomForest,dominant_rat,3,570,0,0.9736842105263158,0.763782728899008,0.7154836777478286
V3_sigma010,MLP,dominant_rat,3,570,0,0.9736842105263158,0.4964221824686941,0.49333333333333335
V3_sigma010,GradientBoosting,dominant_rat,3,570,0,0.9754385964912281,0.5418767279232395,0.5562722419928825
V3_8D_sigma005,LogisticRegression,dominant_rat,3,570,0,0.8403508771929824,0.9186046511627908,0.37233329389960174
V3_8D_sigma005,RandomForest,dominant_rat,3,570,0,0.9824561403508771,0.7236949097414214,0.7455357142857143
V3_8D_sigma005,MLP,dominant_rat,3,570,0,0.980701754385965,0.5,0.4951284322409212
V3_8D_sigma005,GradientBoosting,dominant_rat,3,570,0,0.9789473684210527,0.5882257277606114,0.6196619217081851
Majority,Baseline,dominant_cpe,7,570,0,0.3280701754385965,0.25,0.12351387054161163
StratifiedRandom,Baseline,dominant_cpe,7,570,0,0.2578947368421053,0.24764386484515405,0.24676892701383923
RawPrivate,LogisticRegression,dominant_cpe,7,570,0,0.16140350877192983,0.2627389876641661,0.09907871924270195
RawPrivate,RandomForest,dominant_cpe,7,570,0,0.23859649122807017,0.29740563282298604,0.2296425887322674
RawPrivate,MLP,dominant_cpe,7,570,0,0.26666666666666666,0.25934542509948666,0.20060358543178392
RawPrivate,GradientBoosting,dominant_cpe,7,570,0,0.2754385964912281,0.307306563303575,0.275721436677319
V1,LogisticRegression,dominant_cpe,7,570,0,0.1543859649122807,0.2570097771156784,0.08413500797748716
V1,RandomForest,dominant_cpe,7,570,0,0.22807017543859648,0.27536628236542915,0.21477230092598049
V1,MLP,dominant_cpe,7,570,0,0.2543859649122807,0.3278651553342674,0.2180455067270658
V1,GradientBoosting,dominant_cpe,7,570,0,0.25263157894736843,0.2733115043420334,0.248085635018933
V2,LogisticRegression,dominant_cpe,7,570,0,0.18596491228070175,0.2836519856567074,0.13838788161924498
V2,RandomForest,dominant_cpe,7,570,0,0.21929824561403508,0.2912575953661239,0.1958366889443584
V2,MLP,dominant_cpe,7,570,0,0.2982456140350877,0.2778459876759407,0.27431666736458116
V2,GradientBoosting,dominant_cpe,7,570,0,0.24561403508771928,0.25127228015363545,0.2425434548237712
V3_sigma005,LogisticRegression,dominant_cpe,7,570,0,0.2578947368421053,0.30484171040288355,0.23162452410818424
V3_sigma005,RandomForest,dominant_cpe,7,570,0,0.22807017543859648,0.26344464285889035,0.22518389230036856
V3_sigma005,MLP,dominant_cpe,7,570,0,0.2543859649122807,0.24718022027717912,0.1929516627393765
