source,destination,transmitter_type,channel_pattern,launch_power_dbm,16QAM,QPSK,qpsk_minus_16qam_gsnr_db
bristol,bradley stoke,voyager,01000011,-5.0,24.577,24.263,-0.31400000000000006
bristol,bradley stoke,voyager,01000011,-4.5,23.79,23.457,-0.3329999999999984
bristol,bradley stoke,voyager,01000100,-5.5,26.04,25.945,-0.09499999999999886
bristol,bradley stoke,voyager,01000100,-5.0,25.355,25.255,-0.10000000000000142
bristol,bradley stoke,voyager,01000100,-4.5,24.61,24.5,-0.10999999999999943
bristol,bradley stoke,voyager,01000101,-5.5,25.623,25.41,-0.21300000000000097
bristol,bradley stoke,voyager,01000101,-5.0,24.907,24.683,-0.2240000000000002
bristol,bradley stoke,voyager,01000101,-4.5,24.137,23.9,-0.23700000000000188
bristol,bradley stoke,voyager,01000110,-5.5,25.25,24.94,-0.3099999999999987
bristol,bradley stoke,voyager,01000110,-5.0,24.517,24.187,-0.3299999999999983
bristol,bradley stoke,voyager,01000110,-4.5,23.727,23.38,-0.3470000000000013
bristol,bradley stoke,voyager,01000111,-5.5,24.707,24.273,-0.43400000000000105
bristol,bradley stoke,voyager,01000111,-5.0,23.94,23.483,-0.45700000000000074
bristol,bradley stoke,voyager,01000111,-4.5,23.122,22.648,-0.4740000000000002
bristol,bradley stoke,voyager,01001000,-5.5,25.945,25.815,-0.129999999999999
bristol,bradley stoke,voyager,01001000,-5.0,25.25,25.115,-0.13500000000000156
bristol,bradley stoke,voyager,01001000,-4.5,24.495,24.355,-0.14000000000000057
bristol,bradley stoke,voyager,01001001,-5.5,25.683,25.487,-0.1960000000000015
bristol,bradley stoke,voyager,01001001,-5.0,24.973,24.767,-0.20599999999999952
bristol,bradley stoke,voyager,01001001,-4.5,24.207,23.983,-0.2240000000000002
bristol,bradley stoke,voyager,01001010,-5.5,25.54,25.307,-0.23300000000000054
bristol,bradley stoke,voyager,01001010,-5.0,24.82,24.57,-0.25
bristol,bradley stoke,voyager,01001010,-4.5,24.047,23.78,-0.26699999999999946
bristol,bradley stoke,voyager,01001011,-5.5,24.962,24.587,-0.375
bristol,bradley stoke,voyager,01001011,-5.0,24.21,23.81,-0.40000000000000213
bristol,bradley stoke,voyager,01001011,-4.5,23.402,22.988,-0.4140000000000015
bristol,bradley stoke,voyager,01001100,-5.5,25.167,24.83,-0.3370000000000033
bristol,bradley stoke,voyager,01001100,-5.0,24.423,24.067,-0.3559999999999981
bristol,bradley stoke,voyager,01001100,-4.5,23.627,23.257,-0.36999999999999744
